FirstName,LastName,Canton,Avatar URL,PartyAbbreviation,Mandate Start,Council Abbreviation
Christine,Bulliard-Marbach,FR,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3017.jpg,Mitte,2023-12-04T00:00:00,NR_CH
Christine,Badertscher,BE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3138.jpg,Grüne,2023-12-04T00:00:00,NR_CH
Christoph,Riner,AG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10801.jpg,SVP,2023-12-04T00:00:00,NR_CH
Christophe,Clivaz,VS,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3145.jpg,Grüne,2023-12-04T00:00:00,NR_CH
Clarence,Chollet,NE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/15304.jpg,Grüne,2025-06-02T00:00:00,NR_CH
Claudia,Friedl,SG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3035.jpg,SP,2023-12-04T00:00:00,NR_CH
Corina,Gredig,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3159.jpg,GLP,2023-12-11T00:00:00,NR_CH
Cyril,Aellen,GE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10803.jpg,FDP,2023-12-04T00:00:00,NR_CH
Damian,Müller,LU,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3108.jpg,FDP,2023-12-04T00:00:00,SR_CH
Damien,Cottier,NE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3146.jpg,FDP,2023-12-04T00:00:00,NR_CH
Daniel,Jositsch,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2694.jpg,SP,2023-12-04T00:00:00,SR_CH
Daniel,Fässler,AI,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2767.jpg,Mitte,2023-12-04T00:00:00,SR_CH
Daniel,Ruch,VD,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3224.jpg,FDP,2023-12-04T00:00:00,NR_CH
Daniel,Sormanni,GE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/11404.jpg,MCG,2023-12-04T00:00:00,NR_CH
Daniela,Schneeberger,BL,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2766.jpg,FDP,2023-12-04T00:00:00,NR_CH
David,Roth,LU,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10821.jpg,SP,2023-12-04T00:00:00,NR_CH
Delphine,Klopfenstein Broggini,GE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3164.jpg,Grüne,2023-12-04T00:00:00,NR_CH
Diana,Gutjahr,TG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3117.jpg,SVP,2023-12-04T00:00:00,NR_CH
Didier,Calame,NE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10850.jpg,SVP,2023-12-04T00:00:00,NR_CH
Dominik,Blunschy,SZ,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10816.jpg,Mitte,2023-12-04T00:00:00,NR_CH
Edgar,Bischof,AR,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/16706.jpg,SVP,2026-03-20T00:00:00,NR_CH
Elisabeth,Schneider-Schneiter,BL,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2748.jpg,Mitte,2023-12-04T00:00:00,NR_CH
Emmanuel,Amoos,VS,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3217.jpg,SP,2023-12-04T00:00:00,NR_CH
Eric,Nussbaumer,BL,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2702.jpg,SP,2023-12-04T00:00:00,NR_CH
Erich,Hess,BE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3078.jpg,SVP,2023-12-04T00:00:00,NR_CH
Erich,Ettlin,OW,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3107.jpg,Mitte,2023-12-04T00:00:00,SR_CH
Erich,Vontobel,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10838.jpg,EDU,2023-12-04T00:00:00,NR_CH
Ernst,Wandfluh,BE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10834.jpg,SVP,2023-12-04T00:00:00,NR_CH
Estelle,Revaz,GE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10823.jpg,SP,2023-12-04T00:00:00,NR_CH
Esther,Friedli,SG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3153.jpg,SVP,2023-12-04T00:00:00,SR_CH
Eva,Herzog,BS,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3194.jpg,SP,2023-12-04T00:00:00,SR_CH
Fabian,Molina,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3124.jpg,SP,2023-12-04T00:00:00,NR_CH
Fabien,Fivaz,NE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3152.jpg,Grüne,2025-06-02T00:00:00,SR_CH
Fabienne,Stämpfli,BE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/14810.jpg,GLP,2025-03-04T00:00:00,NR_CH
Fabio,Regazzi,TI,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2776.jpg,Mitte,2023-12-04T00:00:00,SR_CH
Farah,Rumy,SO,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/11506.jpg,SP,2023-12-04T00:00:00,NR_CH
Felix,Wettstein,SO,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3191.jpg,Grüne,2023-12-04T00:00:00,NR_CH
Flavia,Wasserfallen,BE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3125.jpg,SP,2023-12-04T00:00:00,SR_CH
Florence,Brenzikofer,BL,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3211.jpg,Grüne,2023-12-04T00:00:00,NR_CH
Franz,Grüter,LU,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3076.jpg,SVP,2023-12-04T00:00:00,NR_CH
Franziska,Roth,SO,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3175.jpg,SP,2023-12-04T00:00:00,SR_CH
